Provider,Year,Annual_Unlinked_Trips,Annual_Vehicle_Revenue_Miles,Annual_Vehicle_Revenue_Hours,Operating_Expenses,Fare_Revenue,OpEx_per_VRM,OpEx_per_VRH,OpEx_per_UPT,UPT_per_VRM,UPT_per_VRH,Fare_Revenue_per_UPT,Fare_Revenue_pct_OpEx,UPT_YoY_Pct_Change,VRM_YoY_Pct_Change,VRH_YoY_Pct_Change
YCCAC,2014,192663,487387,49396,3448926,79982,7.076360264020173,69.82196939023403,17.901340682954174,0.39529778184481734,3.9003765487083975,0.41513938846587045,2.319040768053591,NA,NA,NA
YCCAC,2015,147234,481733,53233,2898427,82747,6.0166669088478475,54.44793643040971,19.685853810940408,0.3056340337905022,2.765840737888152,0.5620101335289404,2.8548933611231195,-23.579514489030068,-1.1600637686273947,7.767835452263341
YCCAC,2016,146178,451541,37383,2951064,75986,6.535539408381521,78.94133697135061,20.188154168205887,0.3237313998064406,3.9102800738303505,0.5198183037119128,2.5748679120479934,-0.7172256408166592,-6.267372175043022,-29.7747637743505
YCCAC,2017,147854,478142,33852,3035964,64720,6.34950286734903,89.6834455866714,20.533526316501412,0.3092261294761807,4.367659222497932,0.4377291111501887,2.1317775836604125,1.1465473600678626,5.891159385304989,-9.445469865981863
YCCAC,2018,132751,488875,32478,2946967,170607,6.0280582971107135,90.73732988484512,22.19920753892626,0.2715438506775761,4.087413018042983,1.285165460147193,5.7892402595617805,-10.21480649830238,2.2447306448711886,-4.058844381425026
YCCAC,2019,144819,463377,33753,2929770,178910,6.322648728788869,86.80028441916274,20.23056366913181,0.3125295385830544,4.290551950937695,1.2354041942010372,6.1066227041713175,9.090703648183442,-5.215648171823063,3.9257343432477367
YCCAC,2020,56602,345322,19855,2627764,49764,7.609604948424948,132.34772097708387,46.42528532560687,0.16391078471687295,2.8507680684966004,0.8791915480018374,1.8937773711794514,-60.91534950524448,-25.477095324109744,-41.175599205996505
YCCAC,2021,69023,375416,21921,2633509,1750,7.014908794510623,120.13635326855527,38.15407907509091,0.18385737421953247,3.148715843255326,0.02535386755139591,0.0664512633144599,21.9444542595668,8.714764770272383,10.40543943591035
YCCAC,2022,61393,303526,15846,2779378,7412,9.156968431040504,175.39934368294837,45.271903962992525,0.20226603322285405,3.8743531490596994,0.12073037642727999,0.2666783719235023,-11.054286252408616,-19.14942357278326,-27.713151772273164
YCCAC,2023,70554,313637,16254,2844898,0,9.07067087110258,175.0275624461671,40.32227797148283,0.22495432617962804,4.340716131413806,0,0,14.921896633166648,3.3311808543584407,2.5747822794396065
